Name,Points,Position,School
Judah Bielenberg,18.78,QB/LB,Siouxland Christian
Jude Larson,0.0,RB/LB,Gladbrook-Reinbeck
Judson Beary,0.0,RB/LB,Twin Cedars
Justin Bauer,0.0,WR/CB,Bishop Garrigan
Justin Mendenhall,0.5,DL,Lamoni
Justin Weispfenning,0.0,RB/DB,Easton Valley
Kace Patton,51.4,WR/CB,Murray
Kaden Kobliska,8.7,WR,Riceville
Kaden Schmidt,9.9,RB/LB,Turkey Valley
Kael Caikoski,0.0,RB/LB,Melcher-Dallas
Kael Cress,2.8,WR/S,Midland
Kael Johnson,1.9,LB/OG,Winfield-Mt Union
Kahl Shanahan,0.0,TE/LB,Springville
Kaiden Knaack,57.48,,Don Bosco
Kale Doeppke,0.0,WR/DB,Central Elkader
Kale Moore,0.0,QB/DB,Moravia
Kaleb Drape,8.7,WR/LB,Kee
Kaleb Gill,3.1,,GMG
Karter Thiessen,0.3,RB/DB,Iowa Valley
Kasey Hough,34.92,QB/S,GTRA
Kason Calhoun,1.5,RB/DB,CAM
Kayden Winther,11.1,RB/LB,CAM
Keagan Lee,21.74,QB/DB,Easton Valley
Keaton Brammer,6.7,WR/CB,Murray
Keaton Harpenau,0.0,SL/DB,Remsen St. Mary's
Keegan Chew,-0.1,QB/S,Murray
Keegan Smith,0.0,RB/LB,Lenox
Keenan Foland,1.7,QB/S,West Harrison
Keeten Chenet,0.0,RB/LB,Twin Cedars
Kelan Stevenson,3.4,TE/LB,Lamoni
Kellen Whitman,3.7,FB/LB,Calamus-Wheatland
Kendrick Mastin,11.0,RB/LB,Murray
Kenny Criswell,12.4,WR/DB,Montezuma
Kenny Ness,3.1,LB/WR,GTRA
Keyden Lown,0.0,TE/DE,English Valleys
Kinnick Henning,2.4,RB/LB,St. Edmond
Klay Baker,43.9,RB/LB,St. Edmond
Kolben Robinson,0.0,TE/LB,Lenox
Kolby Culbertson,15.0,TE/DB,Coon Rapids-Bayard
Kolt Payne,10.1,SL/CB,Sidney
Kolton Robinson,0.0,RB/DB,Northwood-Kensett
Kooper Julseth,30.66,WR/LB,Northwood-Kensett
Kyle Boeckmann,9.3,RB/LB,Tripoli
Kyle Reinhart,0.0,WR/DB,Central Elkader
Kyler Knaack,13.2,,Don Bosco
LaDarius Albright,4.2,TE/LB,Sidney
Landen Dietrich,12.1,RB/LB,GTRA
Landen Nelson,1.9,WR/DB,Northwood-Kensett
Landon Blum,0.0,WR/DB,Woodbine
Landon Campbell,0.0,RB,Edgewood-Colesburg
Landon Gjerde,6.5,RB/LB,Colo-Nesco
